Empty Room,SITTING,RUNNING,Walking
58.5,58.75,65,68
58.5,58.75,65,68
58.25,58.5,62,66
58.25,58.5,62,66
58.5,58.75,64,68
58.75,58.75,64,68
59.0,58.5,62,71
58.75,58.0,64,71
58.25,57.5,67,67
58.25,58.25,70,67
58.5,58.5,70,65
58.25,58.75,67,65
58.25,58.75,64,69
58.25,58.25,64,69
58.25,58.25,64,72
58.5,59.0,64,72
58.5,58.75,64,70
58.25,58.0,62,70
58.25,58.5,62,70
58.75,58.5,62,70
58.75,58.0,66,75
58.5,58.0,70,75
58.5,57.75,70,72
58.5,58.5,70,72
58.5,58.75,70,77
58.5,58.0,63,77
58.5,58.75,63,71
58.5,59.0,62,71
58.5,58.5,62,71
59.25,59.25,63,67
59.25,59.5,63,70
58.5,58.75,61,66
58.5,58.75,61,66
58.25,59.0,71,72
58.25,59.0,71,72
58.25,58.75,63,68
58.25,59.0,63,77
58.25,59.0,64,68
58.25,59.0,64,68
58.5,58.5,64,68
58.25,58.5,64,72
58.5,58.25,64,72
58.5,58.25,64,74
58.5,58.0,64,74
58.5,58.25,64,69
58.75,58.25,68,69
59.0,58.0,68,68
58.75,58.0,63,68
58.5,58.25,63,65
58.75,58.5,67,65
59.0,58.5,67,64
59.25,58.5,65,64
59.0,58.5,65,68
58.75,58.75,65,68
58.5,58.75,65,77
58.5,59.0,62,77
58.5,59.0,62,74
58.5,58.75,66,74
58.25,59.0,66,71
58.25,59.5,61,71
58.5,60.0,61,72
58.5,60.5,63,72
58.75,60.75,63,68
58.75,60.0,63,68
58.25,60.5,63,69
58.5,61.25,72,69
58.25,60.5,72,74
58.0,61.5,72,74
58.5,62.0,65,68
58.5,60.25,64,68
58.5,60.5,63,68
58.5,61.25,63,67
58.25,60.5,63,67
58.25,60.5,65,73
59.0,60.75,65,73
59.0,60.25,65,73
59.0,60.0,70,73
59.0,60.0,70,66
58.75,59.75,64,66
58.75,59.5,64,73
58.25,60.25,62,73
58.25,60.25,62,68
58.75,58.5,61,68
58.75,58.75,61,74
58.75,58.75,63,74
58.75,59.25,63,67
58.75,59.5,63,67
58.75,59.5,63,71
58.25,59.5,63,71
58.25,59.25,63,69
58.25,59.5,66,69
58.25,59.25,66,67
58.5,59.5,63,67
58.75,59.5,63,72
59.0,59.75,63,72
58.25,59.75,63,72
58.25,59.75,62,72
58.75,60.0,59,75
59.0,59.5,69,75
58.25,59.25,76,80
58.5,59.75,66,80
58.25,60.0,70,68
58.25,59.75,70,68
58.25,59.75,63,68
58.25,61.0,64,68
58.5,60.5,63,69
58.25,59.75,63,69
58.25,59.75,63,69
58.25,60.0,62,68
58.5,60.0,62,68
58.5,59.5,63,66
58.5,59.25,63,66
58.25,59.0,68,68
59.0,59.0,68,68
59.0,59.0,65,69
58.25,59.5,65,69
58.25,60.0,68,71
58.25,59.25,68,71
58.25,59.0,66,69
58.5,58.75,62,69
58.5,59.0,62,73
58.25,59.0,63,73
58.25,58.75,63,67
58.25,58.75,63,67
58.25,58.25,62,69
58.25,59.0,64,69
58.25,59.0,64,71
